iteration,relation,source_edges_reweighted,multiplier_min,multiplier_mean,multiplier_max,edge_weight_min,edge_weight_mean,edge_weight_max,clip_min,clip_max,target_observed_pairs,transfer_id,method,seed
1,hosted_on,859,0.5116731517509727,4.87500411957915,10.0,0.41321709752082825,1.3112298250198364,3.7135720252990723,0.1,10.0,4.0,T2_ON,strurw,43
1,uses_cert,300,1.0,1.0,1.0,0.6931471824645996,1.0211973190307617,1.6094379425048828,0.1,10.0,0.0,T2_ON,strurw,43
1,uses_ns,915,0.5806451612903225,1.174913015191475,3.5999999999999996,0.45783308148384094,0.7315755486488342,2.1041340827941895,0.1,10.0,16.0,T2_ON,strurw,43
1,registered_via,107,1.0,1.0,1.0,0.6931471824645996,0.6947561502456665,1.0986123085021973,0.1,10.0,0.0,T2_ON,strurw,43
1,referenced_by,0,,,,0.6931471824645996,0.7417847514152527,1.043596863746643,0.1,10.0,0.0,T2_ON,strurw,43
2,hosted_on,859,0.5116731517509727,4.87500411957915,10.0,0.23254674673080444,1.976473331451416,5.993961334228516,0.1,10.0,4.0,T2_ON,strurw,43
2,uses_cert,300,1.0,1.0,1.0,0.6931471824645996,1.0211973190307617,1.6094379425048828,0.1,10.0,0.0,T2_ON,strurw,43
2,uses_ns,915,0.5806451612903225,1.174913015191475,3.5999999999999996,0.29053959250450134,0.7807007431983948,3.2928693294525146,0.1,10.0,16.0,T2_ON,strurw,43
2,registered_via,107,1.0,1.0,1.0,0.6931471824645996,0.6947561502456665,1.0986123085021973,0.1,10.0,0.0,T2_ON,strurw,43
2,referenced_by,0,,,,0.6931471824645996,0.7417847514152527,1.043596863746643,0.1,10.0,0.0,T2_ON,strurw,43
1,hosted_on,859,0.5116731517509727,4.87500411957915,10.0,0.41321709752082825,1.3112298250198364,3.7135720252990723,0.1,10.0,4.0,T2_ON,dann_strurw,43
1,uses_cert,300,1.0,1.0,1.0,0.6931471824645996,1.0211973190307617,1.6094379425048828,0.1,10.0,0.0,T2_ON,dann_strurw,43
1,uses_ns,915,0.5806451612903225,1.174913015191475,3.5999999999999996,0.45783308148384094,0.7315755486488342,2.1041340827941895,0.1,10.0,16.0,T2_ON,dann_strurw,43
1,registered_via,107,1.0,1.0,1.0,0.6931471824645996,0.6947561502456665,1.0986123085021973,0.1,10.0,0.0,T2_ON,dann_strurw,43
