created_at_utc,transfer_id,method,seed,source_size,target_size,source_train_size,source_val_size,target_test_size,source_train_auc,source_val_auc,target_test_auc,target_pr_auc,target_balanced_acc,target_macro_f1,target_licensed_consistency,target_illegal_consistency,target_illegal_recall_at_youden,target_mean_pred_illegal,target_label_class_count,target_has_complete_binary_labels,configured_primary_metric,effective_primary_metric,primary_metric_direction,primary_metric_value,threshold,domain_acc_final,pseudo_label_quality,best_epoch,best_source_val_score,selection_policy,best_state_min_epoch,trained_epochs,force_full_epochs,purpose,runtime_s,experiment,edge_removed,edge_config,encoder_checkpoint
2026-04-28T14:46:32.256301+00:00,T2_PH,source_only,42,325,33,263,62,14,0.9956917475728155,0.9868421052631579,0.8541666666666667,0.8708333333333333,0.7083333333333333,0.7083333333333333,0.75,0.6666666666666666,0.6666666666666666,0.39389547890719506,2,True,roc_auc,roc_auc,higher_is_better,0.8541666666666667,0.5224695205688477,,,99,0.9868421052631579,best_source_val,1,124,False,E1_edge_ablation,7.385090112686157,E1_edge_ablation,hosted_on,minus_hosted_on,<workspace_root>\output\week5\checkpoints\heco_encoder__tau0.7__seed42.pt
2026-04-28T14:46:40.115421+00:00,T2_PH,source_only,42,325,33,263,62,14,0.9949635922330097,0.9714912280701755,0.75,0.7236111111111111,0.7291666666666667,0.7142857142857143,0.625,0.8333333333333334,0.8333333333333334,0.3342212832753181,2,True,roc_auc,roc_auc,higher_is_better,0.75,0.09311890602111816,,,101,0.9714912280701755,best_source_val,1,126,False,E1_edge_ablation,7.555174112319946,E1_edge_ablation,uses_cert,minus_uses_cert,<workspace_root>\output\week5\checkpoints\heco_encoder__tau0.7__seed42.pt
2026-04-28T14:46:49.517076+00:00,T2_PH,source_only,42,325,33,263,62,14,0.9956917475728155,0.9879385964912281,0.75,0.8269230769230769,0.7083333333333333,0.7083333333333333,0.75,0.6666666666666666,0.6666666666666666,0.3686658272552969,2,True,roc_auc,roc_auc,higher_is_better,0.75,0.28319162130355835,,,130,0.9879385964912281,best_source_val,1,155,False,E1_edge_ablation,9.09192681312561,E1_edge_ablation,uses_ns,minus_uses_ns,<workspace_root>\output\week5\checkpoints\heco_encoder__tau0.7__seed42.pt
2026-04-28T14:46:57.364258+00:00,T2_PH,source_only,42,325,33,263,62,14,0.995995145631068,0.9736842105263157,0.8541666666666666,0.8218253968253968,0.6875,0.6888888888888889,0.875,0.5,0.5,0.3845282803886221,2,True,roc_auc,roc_auc,higher_is_better,0.8541666666666666,0.5942341685295105,,,99,0.9736842105263157,best_source_val,1,124,False,E1_edge_ablation,7.5326173305511475,E1_edge_ablation,registered_via,minus_registered_via,<workspace_root>\output\week5\checkpoints\heco_encoder__tau0.7__seed42.pt
2026-04-28T14:47:05.725713+00:00,T2_PH,source_only,42,325,33,263,62,14,0.9976941747572815,0.9791666666666666,0.7916666666666667,0.6825757575757576,0.7916666666666667,0.7846153846153847,0.75,0.8333333333333334,0.8333333333333334,0.40491100663176177,2,True,roc_auc,roc_auc,higher_is_better,0.7916666666666667,0.2993318736553192,,,103,0.9791666666666666,best_source_val,1,128,False,E1_edge_ablation,7.998979568481445,E1_edge_ablation,referenced_by,minus_referenced_by,<workspace_root>\output\week5\checkpoints\heco_encoder__tau0.7__seed42.pt
2026-04-28T14:47:16.283633+00:00,T2_PH,source_only,43,325,33,261,64,14,0.9995683808114441,0.9333333333333333,0.7083333333333333,0.7160714285714285,0.6666666666666667,0.641025641025641,0.5,0.8333333333333334,0.8333333333333334,0.421050124001988,2,True,roc_auc,roc_auc,higher_is_better,0.7083333333333333,0.16830222308635712,,,144,0.9333333333333333,best_source_val,1,169,False,E1_edge_ablation,10.224865674972534,E1_edge_ablation,none,full,<workspace_root>\output\week6\checkpoints\heco_encoder__tau0.7__seed43.pt
2026-04-28T14:47:23.794000+00:00,T2_PH,source_only,43,325,33,261,64,14,0.9934640522875817,0.9117948717948717,0.7083333333333333,0.7647537647537648,0.6458333333333333,0.641025641025641,0.625,0.6666666666666666,0.6666666666666666,0.4590762625930113,2,True,roc_auc,roc_auc,higher_is_better,0.7083333333333333,0.5624229311943054,,,95,0.9117948717948717,best_source_val,1,120,False,E1_edge_ablation,7.192724227905273,E1_edge_ablation,hosted_on,minus_hosted_on,<workspace_root>\output\week6\checkpoints\heco_encoder__tau0.7__seed43.pt
2026-04-28T14:47:36.161174+00:00,T2_PH,source_only,43,325,33,261,64,14,0.9991367616228881,0.9374358974358974,0.6458333333333334,0.6759259259259259,0.6666666666666667,0.641025641025641,0.5,0.8333333333333334,0.8333333333333334,0.5458815731315981,2,True,roc_auc,roc_auc,higher_is_better,0.6458333333333334,0.0664467141032219,,,186,0.9374358974358974,best_source_val,1,200,False,E1_edge_ablation,12.062150239944458,E1_edge_ablation,uses_cert,minus_uses_cert,<workspace_root>\output\week6\checkpoints\heco_encoder__tau0.7__seed43.pt
2026-04-28T14:47:41.756137+00:00,T2_PH,source_only,43,325,33,261,64,14,0.9713898137871502,0.9128205128205129,0.33333333333333337,0.38475135975135977,0.35416666666666663,0.35384615384615387,0.375,0.3333333333333333,0.3333333333333333,0.5692058870595896,2,True,roc_auc,roc_auc,higher_is_better,0.33333333333333337,0.6253324151039124,,,65,0.9128205128205129,best_source_val,1,90,False,E1_edge_ablation,5.306604385375977,E1_edge_ablation,uses_ns,minus_uses_ns,<workspace_root>\output\week6\checkpoints\heco_encoder__tau0.7__seed43.pt
2026-04-28T14:47:49.370187+00:00,T2_PH,source_only,43,325,33,261,64,14,0.9937723517079788,0.9117948717948717,0.8333333333333334,0.8824786324786325,0.7291666666666667,0.7142857142857143,0.625,0.8333333333333334,0.8333333333333334,0.556096400925136,2,True,roc_auc,roc_auc,higher_is_better,0.8333333333333334,0.6183562278747559,,,95,0.9117948717948717,best_source_val,1,120,False,E1_edge_ablation,7.2771806716918945,E1_edge_ablation,registered_via,minus_registered_via,<workspace_root>\output\week6\checkpoints\heco_encoder__tau0.7__seed43.pt
