transfer_id,method,seed,metric,n_target_test,n_removed_overlap,n_isolated,primary_full,primary_isolated,delta,rerun_primary_reported,is_posthoc
T2_PH,dann,46,roc_auc,14,1,13,0.7083333333333333,0.7,-0.008333333333333304,0.7083333333333333,True
T2_PH,dann_strurw,42,roc_auc,14,2,12,0.6666666666666667,0.625,-0.04166666666666674,0.6666666666666667,True
T2_PH,dann_strurw,43,roc_auc,14,2,12,0.625,0.6857142857142857,0.06071428571428572,0.625,True
T2_PH,dann_strurw,44,roc_auc,14,1,13,1.0,1.0,0.0,1.0,True
T2_PH,dann_strurw,45,roc_auc,14,1,13,0.5416666666666666,0.475,-0.06666666666666665,0.5416666666666666,True
T2_PH,dann_strurw,46,roc_auc,14,1,13,0.8958333333333333,0.875,-0.02083333333333326,0.8958333333333333,True
T2_PH,source_only,42,roc_auc,14,2,12,0.7916666666666667,0.75,-0.04166666666666674,0.7916666666666667,True
T2_PH,source_only,43,roc_auc,14,2,12,0.7083333333333333,0.7142857142857143,0.005952380952381042,0.7083333333333333,True
T2_PH,source_only,44,roc_auc,14,1,13,0.5416666666666666,0.5238095238095237,-0.017857142857142905,0.5416666666666666,True
T2_PH,source_only,45,roc_auc,14,1,13,0.4583333333333333,0.425,-0.033333333333333326,0.4583333333333333,True
T2_PH,source_only,46,roc_auc,14,1,13,0.7083333333333333,0.675,-0.033333333333333215,0.7083333333333333,True
T2_PH,strurw,42,roc_auc,14,2,12,0.8125,0.78125,-0.03125,0.8125,True
T2_PH,strurw,43,roc_auc,14,2,12,0.6041666666666667,0.6857142857142857,0.08154761904761898,0.6041666666666667,True
T2_PH,strurw,44,roc_auc,14,1,13,0.8125,0.8333333333333333,0.02083333333333326,0.8125,True
T2_PH,strurw,45,roc_auc,14,1,13,0.2708333333333333,0.275,0.004166666666666707,0.2708333333333333,True
T2_PH,strurw,46,roc_auc,14,1,13,0.7291666666666666,0.7,-0.029166666666666674,0.7291666666666666,True
T3_DiagnoseFrance,dann,42,roc_auc,29,2,27,1.0,1.0,0.0,1.0,True
T3_DiagnoseFrance,dann,43,roc_auc,30,3,27,0.915,0.9176470588235295,0.0026470588235294468,0.915,True
T3_DiagnoseFrance,dann,44,roc_auc,30,3,27,0.99,0.9882352941176471,-0.0017647058823528905,0.99,True
T3_DiagnoseFrance,dann,45,roc_auc,27,2,25,0.9691358024691358,0.9682539682539683,-0.0008818342151675207,0.9691358024691358,True
T3_DiagnoseFrance,dann,46,roc_auc,30,3,27,1.0,1.0,0.0,1.0,True
T3_DiagnoseFrance,dann_strurw,42,roc_auc,29,2,27,1.0,1.0,0.0,1.0,True
T3_DiagnoseFrance,dann_strurw,43,roc_auc,30,3,27,0.91,0.9117647058823529,0.0017647058823528905,0.91,True
T3_DiagnoseFrance,dann_strurw,44,roc_auc,30,3,27,0.99,0.9882352941176471,-0.0017647058823528905,0.99,True
T3_DiagnoseFrance,dann_strurw,45,roc_auc,27,2,25,0.9753086419753086,0.976190476190476,0.0008818342151674097,0.9753086419753086,True
T3_DiagnoseFrance,dann_strurw,46,roc_auc,30,3,27,1.0,1.0,0.0,1.0,True
T3_DiagnoseFrance,source_only,42,roc_auc,29,2,27,1.0,1.0,0.0,1.0,True
T3_DiagnoseFrance,source_only,43,roc_auc,30,3,27,0.985,0.9882352941176471,0.003235294117647114,0.985,True
T3_DiagnoseFrance,source_only,44,roc_auc,30,3,27,0.995,0.9941176470588236,-0.0008823529411764452,0.995,True
